t T p yO2 yO rho
1.309784133214597374e-03 5.692449146963715975e+03 1.009778324514755150e+04 5.711710336398798660e-01 4.288289663601202450e-01 4.777880545520456906e-03
1.340245545484646059e-03 5.670374251464257213e+03 1.006925216050121708e+04 5.696614143880061043e-01 4.303385856119939512e-01 4.777880545520456906e-03
1.370706957754694744e-03 5.648998432538101042e+03 1.004153210922579638e+04 5.682015478686892607e-01 4.317984521313107948e-01 4.777880545520456906e-03
1.401168370024743429e-03 5.628284652045960684e+03 1.001458387867539022e+04 5.667887252127847830e-01 4.332112747872152170e-01 4.777880545520456906e-03
1.431629782294792114e-03 5.608198547167211473e+03 9.988370848873240902e+03 5.654204375660563109e-01 4.345795624339436336e-01 4.777880545520456906e-03
1.462091194564840799e-03 5.588708187243082648e+03 9.962858776354576548e+03 5.640943575794481468e-01 4.359056424205517422e-01 4.777880545520456906e-03
1.492552606834889484e-03 5.569783861805774904e+03 9.938015605813676302e+03 5.628083232652001389e-01 4.371916767347997501e-01 4.777880545520456906e-03
1.523014019104938169e-03 5.551397890220136105e+03 9.913811298954664380e+03 5.615603235319579500e-01 4.384396764680419389e-01 4.777880545520456906e-03
1.553475431374986638e-03 5.533524447879452055e+03 9.890217675420844898e+03 5.603484850274321749e-01 4.396515149725677141e-01 4.777880545520456906e-03
1.583936843645035323e-03 5.516139409130630156e+03 9.867208267307347342e+03 5.591710602771552407e-01 4.408289397228446482e-01 4.777880545520456906e-03
1.614398255915084008e-03 5.499220207103166103e+03 9.844758188631618395e+03 5.580264171099189596e-01 4.419735828900808738e-01 4.777880545520456906e-03
1.644859668185132693e-03 5.482745708182555063e+03 9.822844017781782895e+03 5.569130291979197400e-01 4.430869708020800379e-01 4.777880545520456906e-03
1.675321080455181378e-03 5.466696098239341154e+03 9.801443689960431584e+03 5.558294675001961282e-01 4.441705324998037052e-01 4.777880545520456906e-03
1.705782492725230063e-03 5.451052779026118515e+03 9.780536398224376171e+03 5.547743924886546774e-01 4.452256075113451561e-01 4.777880545520456906e-03
1.736243904995278748e-03 5.435798274188156938e+03 9.760102502997500778e+03 5.537465471076218337e-01 4.462534528923779442e-01 4.777880545520456906e-03
1.766705317265327433e-03 5.420916144213517327e+03 9.740123449700378842e+03 5.527447504110851728e-01 4.472552495889145496e-01 4.777880545520456906e-03
1.797166729535376118e-03 5.406390909214700514e+03 9.720581693488626115e+03 5.517678917938606542e-01 4.482321082061390682e-01 4.777880545520456906e-03
1.827628141805424803e-03 5.392207978475108575e+03 9.701460630078057875e+03 5.508149257370105190e-01 4.491850742629891480e-01 4.777880545520456906e-03
1.858089554075473488e-03 5.378353586059761255e+03 9.682744532068385524e+03 5.498848670135817462e-01 4.501151329864180317e-01 4.777880545520456906e-03
1.888550966345522173e-03 5.364814732007889688e+03 9.664418490425887285e+03 5.489767863162472450e-01 4.510232136837525330e-01 4.777880545520456906e-03
1.919012378615570641e-03 5.351579128601724733e+03 9.646468360715971357e+03 5.480898062675859661e-01 4.519101937324137008e-01 4.777880545520456906e-03
1.949473790885619326e-03 5.338635151160792702e+03 9.628880713581005693e+03 5.472230977713694600e-01 4.527769022286300959e-01 4.777880545520456906e-03
1.979935203155668011e-03 5.325971792876549443e+03 9.611642789016339520e+03 5.463758766682227375e-01 4.536241233317767629e-01 4.777880545520456906e-03
2.010396615425716696e-03 5.313578623311419506e+03 9.594742454118955720e+03 5.455474006668536990e-01 4.544525993331458014e-01 4.777880545520456906e-03
2.040858027695765381e-03 5.301445750244959527e+03 9.578168164040833290e+03 5.447369665263991356e-01 4.552630334736003648e-01 4.777880545520456906e-03
2.071319439965814066e-03 5.289563784560310523e+03 9.561908925873973203e+03 5.439439074665036733e-01 4.560560925334957161e-01 4.777880545520456906e-03
2.101780852235862751e-03 5.277923807878049047e+03 9.545954265195659900e+03 5.431675907830225691e-01 4.568324092169768202e-01 4.777880545520456906e-03
2.132242264505911436e-03 5.266517342681072478e+03 9.530294195037273312e+03 5.424074156499635313e-01 4.575925843500358581e-01 4.777880545520456906e-03
2.162703676775960121e-03 5.255336324712132409e+03 9.514919187078732648e+03 5.416628110910919336e-01 4.583371889089074003e-01 4.777880545520456906e-03
2.193165089046008806e-03 5.244373077449036828e+03 9.499820144891209566e+03 5.409332341063929350e-01 4.590667658936063433e-01 4.777880545520456906e-03
2.238953731518264056e-03 5.228287200189597570e+03 9.477623941818397725e+03 5.398637004955060270e-01 4.601362995044931958e-01 4.777880545520456906e-03
2.284742373990519305e-03 5.212653537388616314e+03 9.456003844238055535e+03 5.388253083511072017e-01 4.611746916488920767e-01 4.777880545520456906e-03
